Jusuf Nurkic, POR
Will Barton, DEN
Kentavious Caldwell-Pope, LAL
Avery Bradley, LAC
Tyreke Evans, IND
Kemba Walker, CHO
T.J. Warren, PHO
Zach Randolph, SAC
Marcus Smart, BOS
Patty Mills, SAS
Dion Waiters, MIA
Alec Burks, UTA
Omer Asik, CHI
Kelly Olynyk, MIA
Iman Shumpert, SAC
Maurice Harkless, POR
Tony Snell, MIL
Meyers Leonard, POR
John Henson, MIL
Terrence Ross, ORL
Bojan Bogdanovic, IND
Robert Covington, PHI
Rudy Gay, SAS
Jon Leuer, DET
Andre Roberson, OKC
Danny Green, TOR
Darren Collison, IND
Dwight Powell, DAL
Matthew Dellavedova, MIL
Dante Exum, UTA
Jared Dudley, BRK
Norman Powell, TOR
Josh Richardson, MIA
Fred VanVleet, TOR
Bogdan Bogdanovic, SAC
Rajon Rondo, LAL
E'Twaun Moore, NOP
Kosta Koufos, SAC
Jerami Grant, OKC
Kyle Anderson, MEM
Julius Randle, NOP
Markieff Morris, WAS
Jerryd Bayless, PHI
Cristiano Felicio, CHI
Markelle Fultz, PHI
C.J. Miles, TOR
Joe Harris, BRK
Shaun Livingston, GSW
Deandre Ayton, PHO
Lou Williams, LAC
Garrett Temple, MEM
P.J. Tucker, HOU
Cory Joseph, IND
JaMychal Green, MEM
Karl-Anthony Towns, MIN
Kyle Korver, CLE
Jeremy Lamb, CHO
Darrell Arthur, PHO
Lonzo Ball, LAL
Doug McDermott, IND
Jae Crowder, UTA
Marvin Bagley, SAC
D.J. Augustin, ORL
Lance Thomas, NYK
D'Angelo Russell, BRK
Langston Galloway, DET
Davis Bertans, SAS
Ersan Ilyasova, MIL
Boban Marjanovic, LAC
Al-Farouq Aminu, POR
Jayson Tatum, BOS
Luka Doncic, DAL
Nemanja Bjelica, SAC
Mario Hezonja, NYK
Ben Simmons, PHI
Milos Teodosic, LAC
Dewayne Dedmon, ATL
Wayne Ellington, MIA
Marco Belinelli, SAS
Wesley Johnson, LAC
Josh Jackson, PHO
Montrezl Harrell, LAC
Jonathon Simmons, ORL
Ish Smith, DET
Jaren Jackson, MEM
Brandon Ingram, LAL
Anthony Tolliver, MIN
Kristaps Porzingis, NYK
Deron Williams, BRK
Ben McLemore, SAC
Alex Abrines, OKC
Patrick Patterson, OKC
Jason Smith, WAS
De'Aaron Fox, SAC
Marcus Morris, BOS
Trae Young, ATL
Dwight Howard, WAS
DeMarcus Cousins, GSW
Josh Smith, DET
Alexis Ajinca, NOP
Thabo Sefolosha, UTA
Aron Baynes, BOS
Jaylen Brown, BOS
Patrick Beverley, LAC
Tony Parker, CHO
Mike Muscala, PHI
Dirk Nowitzki, DAL
Kyle Singler, OKC
Jonathan Isaac, ORL
Mohamed Bamba, ORL
Willie Cauley-Stein, SAC
Dragan Bender, PHO
Ron Baker, NYK
Lauri Markkanen, CHI
Lance Stephenson, LAL
Kyle O'Quinn, IND
Wendell Carter, CHI
Ed Davis, BRK
Justin Holiday, CHI
Alex Len, ATL
Luc Mbah a Moute, LAC
Mike Scott, LAC
Emmanuel Mudiay, NYK
Kris Dunn, CHI
Frank Ntilikina, NYK
Glenn Robinson, DET
Collin Sexton, CLE
Al Jefferson, IND
Stanley Johnson, DET
Buddy Hield, SAC
Dennis Smith, DAL
Kevin Knox, NYK
J.J. Barea, DAL
Nene Hilario, HOU
Zach Collins, POR
Frank Kaminsky, CHO
Mikal Bridges, PHO
Mirza Teletovic, MIL
Michael Beasley, LAL
Jamal Murray, DEN
Jodie Meeks, WAS
Justise Winslow, MIA
Malik Monk, CHO
Myles Turner, IND
Brook Lopez, MIL
Shai Gilgeous-Alexander, LAC
Trey Lyles, DEN
Ekpe Udoh, UTA
Devin Booker, PHO
Luke Kennard, DET
Cameron Payne, CHI
Troy Daniels, PHO
Kelly Oubre, WAS
Miles Bridges, CHO
Marquese Chriss, PHO
Tomas Satoransky, WAS
Bryn Forbes, SAS
Donovan Mitchell, UTA
Terry Rozier, BOS
Jerome Robinson, LAC
Yogi Ferrell, SAC
Bam Adebayo, MIA
Jakob Poeltl, SAS
Michael Porter, DEN
Andrew Nicholson, POR
Justin Jackson, SAC
Thon Maker, MIL
Seth Curry, POR
Cedi Osman, CLE
Sam Dekker, CLE
Troy Brown, WAS
Elfrid Payton, NOP
Justin Patton, MIN
Guerschon Yabusele, BOS
Domantas Sabonis, IND
Jerian Grant, ORL
Zhaire Smith, PHI
Delon Wright, TOR
D.J. Wilson, MIL
Dario Saric, PHI
Taurean Waller-Prince, ATL
Justin Anderson, ATL
Manu Ginobili, SAS
Dante Cunningham, SAS
Reggie Bullock, DET
Bobby Portis, CHI
Donte DiVincenzo, MIL
Rondae Hollis-Jefferson, BRK
Emeka Okafor, NOP
Tyus Jones, MIN
Jarell Martin, ORL
T.J. Leaf, IND
Jeff Green, WAS
Amir Johnson, PHI
Raymond Felton, OKC
Derrick Rose, MIN
JaVale McGee, LAL
Gerald Green, HOU
Zaza Pachulia, DET
Jose Calderon, DET
Devin Harris, DAL
Channing Frye, CLE
Lonnie Walker, SAS
Jamal Crawford, ATL
John Collins, ATL
Denzel Valentine, CHI
Larry Nance, CLE
Kevin Huerter, ATL
Monta Ellis, IND
Harry Giles, SAC
Darius Miller, NOP
Juan Hernangomez, DEN
Jonas Jerebko, GSW
Josh Okogie, MIN
Raul Neto, UTA
Matt Barnes, SAC
Terrance Ferguson, OKC
Omri Casspi, MEM
Grayson Allen, UTA
Jarrett Allen, BRK
Shelvin Mack, MEM
Isaiah Thomas, DEN
Spencer Hawes, MIL
Georgios Papagiannis, SAC
Torrey Craig, DEN
Chandler Hutchison, CHI
OG Anunoby, TOR
Ante Zizic, CLE
Shabazz Napier, BRK
Tyler Zeller, MIL
Anderson Varejao, POR
Aaron Holiday, IND
Tim Duncan, SAS
Tyler Lydon, DEN
Larry Sanders, MIL
Henry Ellenson, DET
Anfernee Simons, POR
Trey Burke, NYK
DeAndre Liggins, NOP
Malik Beasley, DEN
Moritz Wagner, LAL
Nerlens Noel, OKC
Michael Carter-Williams, HOU
Caleb Swanigan, POR
Furkan Korkmaz, PHI
Ian Clark, NOP
Landry Shamet, PHI
Caris LeVert, BRK
Jonah Bolden, PHI
Kyle Kuzma, LAL
Tony Bradley, UTA
Derrick White, SAS
MarShon Brooks, MEM
Spencer Dinwiddie, BRK
Josh Hart, LAL
Robert Williams, BOS
Jacob Evans, GSW
Pat Connaughton, MIL
DeAndre' Bembry, ATL
Dzanan Musa, BRK
Nik Stauskas, POR
James Ennis, HOU
Omari Spellman, ATL
Luke Kornet, NYK
Rodions Kurucs, BRK
Richaun Holmes, PHO
T.J. McConnell, PHI
Malachi Richardson, TOR
Kevon Looney, GSW
Salah Mejri, DAL
Pascal Siakam, TOR
Dejounte Murray, SAS
Skal Labissiere, SAC
Deyonta Davis, SAC
Wade Baldwin, POR
Jake Layman, POR
Timothe Luwawu-Cabarrot, OKC
Cheick Diallo, NOP
Malcolm Brogdon, MIL
Rodney McGruder, MIA
Wayne Selden, MEM
Ivica Zubac, LAL
Quinn Cook, GSW
Damian Jones, GSW
Chinanu Onuaku, DAL
Dorian Finney-Smith, DAL
Willy Hernangomez, CHO
David Stockton, UTA
Andrew Harrison, MEM
Georges Niang, UTA
Derrick Jones, MIA
Treveon Graham, BRK
Lorenzo Brown, TOR
Noah Vonleh, NYK
Troy Williams, NOP
Sviatoslav Mykhailiuk, LAL
Mitchell Robinson, NYK
Isaiah Briscoe, ORL
Jordan Bell, GSW
Frank Jackson, NOP
Thomas Bryant, WAS
Frank Mason, SAC
Davon Reed, PHO
Wesley Iwundu, ORL
Khem Birch, ORL
Abdel Nader, OKC
Damyean Dotson, NYK
Sterling Brown, MIL
Rade Zagorac, MEM
Dillon Brooks, MEM
Dakari Johnson, MEM
Ivan Rabb, MEM
Jawun Evans, LAC
Sindarius Thornwell, LAC
Ike Anigbogu, IND
Maxi Kleber, DAL
Dwayne Bacon, CHO
Semi Ojeleye, BOS
Daniel Theis, BOS
Tyler Dorsey, ATL
Shaquille Harrison, PHO
Royce O'Neale, UTA
Zhou Qi, HOU
Antonius Cleveland, CHI
Kevin Martin, MIN
Monte Morris, DEN
Antonio Blakeney, CHI
Jabari Bird, BOS
Ryan Arcidiacono, CHI
Shabazz Muhammad, MIN
Elie Okobo, PHO
Jalen Brunson, DAL
Melvin Frazier, ORL
Isaac Bonga, LAL
Justin Hamilton, TOR
Shelvin Mack, ORL
Devonte' Graham, CHO
Jason Thompson, GSW
Gary Trent, POR
Hamidou Diallo, OKC
Keita Bates-Diop, MIN
Jevon Carter, MEM
Bruce Brown, DET
Jarred Vanderbilt, DEN
Ray Spalding, DAL
Khyri Thomas, DET
Alize Johnson, IND
Isaiah Hartenstein, HOU
Ryan Broekhoff, DAL
Brad Wanamaker, BOS
Garlon Green, NOP
Kenrich Williams, NOP
Joel Berry, LAL
Ding Yanyuhang, DAL
Terry Larrier, DAL
Martell Webster, WAS
Cole Aldrich, MIN
Carlos Delfino, LAC
Caron Butler, SAC
A.J. Hammons, MIA
Festus Ezeli, POR
C.J. Watson, ORL
Miroslav Raduljica, LAC
Troy Williams, HOU
Demetrius Jackson, BOS
